congress,state_abbrev,change
114,AK,0.0
114,AL,0.306
114,AR,0.294
114,AZ,-0.07200000000000001
114,CA,0.05399999999999999
114,CO,0.09100000000000003
114,CT,0.33899999999999997
114,DE,-0.08899999999999997
114,FL,0.10399999999999995
114,GA,0.532
114,HI,0.2415
114,IA,0.323
114,ID,0.30499999999999994
114,IL,-0.04500000000000001
114,IN,0.329
114,KS,0.4034999999999999
114,KY,0.371
114,LA,0.08950000000000008
114,MA,0.23800000000000002
114,MD,-0.018500000000000072
114,ME,-0.07900000000000003
114,MI,0.019499999999999962
114,MN,0.07599999999999996
114,MO,0.285
114,MS,0.031000000000000028
114,MT,0.251
114,NC,0.5430000000000001
114,ND,0.24100000000000002
114,NE,0.032999999999999974
114,NH,-0.1525
114,NJ,-0.10450000000000002
114,NM,0.21400000000000002
114,NV,0.21000000000000002
114,NY,0.045499999999999985
114,OH,0.04250000000000004
114,OK,0.387
114,OR,0.164
114,PA,-0.15200000000000002
114,RI,0.3025
114,SC,0.4724999999999999
114,SD,0.3195
114,TN,0.276
114,TX,0.3405
114,UT,0.4145
114,VA,0.24600000000000002
114,VT,0.0009999999999999454
114,WA,0.2665
114,WI,0.20649999999999996
114,WV,-0.008000000000000007
114,WY,0.15200000000000002
